Team,MatchId,RoundId,RoundWinner,Map,RoundKills,Mapa,Victorias_Terroristas,Victorias_ContraTerroristas,RoundKillsT,RoundKillsCT,AllKillsRounds,RoundKillsT_scaled,RoundKillsCT_scaled,AllKillsRounds_scaled,Equipo,Total_Kills,Media,Mediana,Moda
Terrorist,4,1,False,de_inferno,0,de_inferno,1724,1162,71,86,157,68.0459770114943,71.4285714285714,69.7520661157025,Counter Terrorist,6580,81.2345679012346,80,74
Terrorist,4,1,False,de_inferno,0,de_nuke,767,450,73,98,171,68.5057471264368,74.0659340659341,72.0661157024793,Terrorist,6271,77.4197530864198,78,60
Terrorist,4,1,False,de_inferno,0,de_mirage,1148,753,80,91,171,70.1149425287356,72.5274725274725,72.0661157024793,,,,,
Terrorist,4,1,False,de_inferno,0,de_dust2,927,985,67,103,170,67.1264367816092,75.1648351648352,71.900826446281,,,,,
Terrorist,4,1,False,de_inferno,0,,,,80,91,171,70.1149425287356,72.5274725274725,72.0661157024793,,,,,
CounterTerrorist,4,1,True,de_inferno,0,,,,60,98,158,65.5172413793104,74.0659340659341,69.9173553719008,,,,,
CounterTerrorist,4,1,True,de_inferno,0,,,,63,75,138,66.2068965517241,69.010989010989,66.6115702479339,,,,,
CounterTerrorist,4,1,True,de_inferno,0,,,,66,69,135,66.8965517241379,67.6923076923077,66.1157024793388,,,,,
CounterTerrorist,4,1,True,de_inferno,3,,,,37,77,114,60.2298850574713,69.4505494505495,62.6446280991736,,,,,
CounterTerrorist,4,1,True,de_inferno,2,,,,69,74,143,67.5862068965517,68.7912087912088,67.4380165289256,,,,,
Terrorist,4,2,True,de_inferno,0,,,,57,87,144,64.8275862068966,71.6483516483517,67.603305785124,,,,,
Terrorist,4,2,True,de_inferno,0,,,,73,117,190,68.5057471264368,78.2417582417583,75.2066115702479,,,,,
Terrorist,4,2,True,de_inferno,0,,,,93,104,197,73.1034482758621,75.3846153846154,76.3636363636364,,,,,
Terrorist,4,2,True,de_inferno,0,,,,77,38,115,69.4252873563218,60.8791208791209,62.8099173553719,,,,,
CounterTerrorist,4,2,False,de_inferno,3,,,,56,69,125,64.5977011494253,67.6923076923077,64.4628099173554,,,,,
CounterTerrorist,4,2,False,de_inferno,0,,,,98,106,204,74.2528735632184,75.8241758241758,77.5206611570248,,,,,
CounterTerrorist,4,2,False,de_inferno,1,,,,95,114,209,73.5632183908046,77.5824175824176,78.3471074380165,,,,,
CounterTerrorist,4,2,False,de_inferno,1,,,,86,79,165,71.4942528735632,69.8901098901099,71.0743801652893,,,,,
CounterTerrorist,4,2,False,de_inferno,0,,,,106,74,180,76.0919540229885,68.7912087912088,73.5537190082645,,,,,
Terrorist,4,3,True,de_inferno,0,,,,61,74,135,65.7471264367816,68.7912087912088,66.1157024793388,,,,,
Terrorist,4,3,True,de_inferno,0,,,,60,80,140,65.5172413793104,70.1098901098901,66.9421487603306,,,,,
Terrorist,4,3,True,de_inferno,0,,,,70,91,161,67.816091954023,72.5274725274725,70.4132231404959,,,,,
Terrorist,4,3,True,de_inferno,0,,,,86,76,162,71.4942528735632,69.2307692307692,70.5785123966942,,,,,
Terrorist,4,3,True,de_inferno,0,,,,78,74,152,69.6551724137931,68.7912087912088,68.9256198347107,,,,,
